"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"19/12/2006","09:00:00",5.994,0.208,235.95,25.8,38,38,17
"19/12/2006","10:00:00",0.222,0,241.5,1,0,0,0
"19/12/2006","11:00:00",2.41,0,239.7,10,0,37,0
"19/12/2006","12:00:00",2.488,0.162,239.81,10.4,0,36,0
"19/12/2006","13:00:00",0.206,0,244.16,0.8,0,0,0
"19/12/2006","14:00:00",0.314,0.136,245.7,1.4,0,0,0
"19/12/2006","15:00:00",0.216,0,246.96,0.8,0,0,0
"19/12/2006","16:00:00",1.404,0.12,244.18,5.6,0,0,18
"19/12/2006","17:00:00",1.268,0,240.44,5.2,0,0,18
"19/12/2006","18:00:00",2.36,0,238.05,9.8,0,0,17
"19/12/2006","19:00:00",1.97,0.092,238.95,8.2,0,0,17
"19/12/2006","20:00:00",1.904,0.12,240.82,8,0,0,0
"19/12/2006","21:00:00",2.844,0.202,241.03,11.8,0,36,0
"19/12/2006","22:00:00",1.346,0.088,238.52,5.8,0,1,0
"19/12/2006","23:00:00",0.468,0.138,245.53,2,0,1,0
"20/12/2006","00:00:00",0.824,0.058,245.57,3.4,0,0,0
"20/12/2006","01:00:00",0.224,0,244.63,1,0,0,0
"20/12/2006","02:00:00",0.286,0.054,241.64,1.4,0,0,0
"20/12/2006","03:00:00",1.326,0,244.55,5.4,0,0,18
"20/12/2006","04:00:00",0.332,0.146,246.11,1.4,0,0,0
"20/12/2006","05:00:00",0.286,0.122,245.51,1.2,0,1,0
"20/12/2006","06:00:00",0.342,0.148,243.72,1.6,0,0,0
"20/12/2006","07:00:00",0.212,0,244.58,0.8,0,0,0
"20/12/2006","08:00:00",3.542,0.198,239.02,14.8,0,1,18
"20/12/2006","09:00:00",1.286,0,241.87,5.2,0,0,18
"20/12/2006","10:00:00",1.294,0,242.9,5.2,0,0,18
"20/12/2006","11:00:00",3.624,0.226,236.7,15.2,0,35,17
"20/12/2006","12:00:00",1.426,0,242.38,5.8,0,0,18
"20/12/2006","13:00:00",1.462,0.198,241.97,6,0,0,18
"20/12/2006","14:00:00",1.374,0.096,242.53,5.6,0,1,18
"20/12/2006","15:00:00",0.37,0.21,246.01,1.8,0,0,0
"20/12/2006","16:00:00",0.416,0.254,244.84,2,0,1,0
"20/12/2006","17:00:00",0.402,0.084,242.51,1.6,0,0,0
"20/12/2006","18:00:00",1.064,0.172,241.13,4.4,0,0,0
"20/12/2006","19:00:00",3.174,0.116,236.51,13.4,0,0,17
"20/12/2006","20:00:00",3.362,0.292,235.51,14.2,0,0,17
"20/12/2006","21:00:00",3.614,0.078,237.02,15.2,0,0,17
"20/12/2006","22:00:00",3.7,0.3,235.4,15.6,0,0,17
"20/12/2006","23:00:00",2.488,0.046,241.59,10.2,0,2,18
"21/12/2006","00:00:00",1.814,0.148,243.51,7.6,0,0,18
"21/12/2006","01:00:00",1.304,0,244.35,5.2,0,0,19
"21/12/2006","02:00:00",1.276,0,241.51,5.2,0,0,17
"21/12/2006","03:00:00",0.316,0.116,244.48,1.4,0,0,0
"21/12/2006","04:00:00",0.208,0,245.35,0.8,0,0,0
"21/12/2006","05:00:00",0.314,0.11,243.4,1.4,0,0,0
"21/12/2006","06:00:00",0.286,0.096,243.24,1.2,0,2,0
"21/12/2006","07:00:00",1.424,0.11,245.48,5.8,0,0,0
"21/12/2006","08:00:00",1.274,0.182,241.27,5.4,0,0,0
"21/12/2006","09:00:00",1.4,0.068,239.38,5.8,0,1,18
"21/12/2006","10:00:00",1.36,0.048,239.13,5.6,1,0,17
"21/12/2006","11:00:00",0.31,0,240.77,1.4,0,0,0
"21/12/2006","12:00:00",0.222,0,243.65,1,0,0,0
"21/12/2006","13:00:00",2.54,0.154,241.34,10.4,0,37,0
"21/12/2006","14:00:00",1.33,0,243.11,5.4,0,1,18
"21/12/2006","15:00:00",0.4,0.134,245.84,1.8,0,0,0
"21/12/2006","16:00:00",0.238,0,243.27,1,0,0,0
"21/12/2006","17:00:00",1.53,0.092,239.01,6.4,0,0,17
"21/12/2006","18:00:00",2.864,0.134,233.14,12.2,0,0,17
"21/12/2006","19:00:00",1.818,0.132,234.27,7.8,0,0,17
"21/12/2006","20:00:00",5.406,0.512,233.13,23.4,37,0,0
"21/12/2006","21:00:00",2.314,0.14,236.56,9.8,0,2,17
"21/12/2006","22:00:00",0.294,0.07,239.08,1.4,0,0,0
"21/12/2006","23:00:00",0.286,0.114,244.3,1.2,0,2,0
"22/12/2006","00:00:00",0.206,0,245.7,0.8,0,0,0
"22/12/2006","01:00:00",0.202,0,242.2,0.8,0,0,0
"22/12/2006","02:00:00",0.202,0,243.03,0.8,0,0,0
"22/12/2006","03:00:00",0.21,0,247.44,0.8,0,0,0
"22/12/2006","04:00:00",0.206,0,245.07,0.8,0,0,0
"22/12/2006","05:00:00",0.262,0,244.49,1.2,0,0,0
"22/12/2006","06:00:00",0.372,0.24,248.01,1.8,0,2,0
"22/12/2006","07:00:00",4.466,0.08,239.6,18.6,0,0,0
"22/12/2006","08:00:00",3.004,0,240.73,12.4,0,0,18
"22/12/2006","09:00:00",1.44,0.116,242.28,5.8,2,0,18
"22/12/2006","10:00:00",1.256,0,240.05,5.2,0,0,17
"22/12/2006","11:00:00",1.33,0.09,237.84,5.6,0,0,18
"22/12/2006","12:00:00",2.61,0.188,238.48,10.8,38,0,0
"22/12/2006","13:00:00",0.586,0.268,241.49,2.6,0,0,0
"22/12/2006","14:00:00",0.69,0.354,239.8,3.2,0,0,0
"22/12/2006","15:00:00",1.458,0.116,240.53,6,0,0,18
"22/12/2006","16:00:00",1.432,0.094,241.84,5.8,0,0,18
"22/12/2006","17:00:00",1.666,0.074,239.63,6.8,0,0,18
"22/12/2006","18:00:00",1.09,0.082,239.08,4.6,0,0,0
"22/12/2006","19:00:00",4.356,0.274,235.92,18.4,0,0,17
"22/12/2006","20:00:00",2.872,0.212,236,12.2,0,0,17
"22/12/2006","21:00:00",3.628,0.176,236,15.4,2,0,17
"22/12/2006","22:00:00",3.272,0.066,236.04,14.4,0,0,0
"22/12/2006","23:00:00",3.238,0.186,238.72,13.6,0,1,0
"23/12/2006","00:00:00",2.328,0,241.25,9.6,0,0,0
"23/12/2006","01:00:00",0.466,0.34,243.83,2.4,0,1,0
"23/12/2006","02:00:00",2.28,0.056,240.67,9.4,0,0,0
"23/12/2006","03:00:00",2.428,0.086,243.42,9.8,0,0,0
"23/12/2006","04:00:00",2.158,0.084,242.21,9.2,0,0,0
"23/12/2006","05:00:00",3.362,0.062,240.89,13.8,0,0,17
"23/12/2006","06:00:00",2.388,0.07,242.3,9.8,0,1,0
"23/12/2006","07:00:00",0.374,0.204,242.24,1.8,0,0,0
"23/12/2006","08:00:00",4.698,0.08,237.84,19.6,0,0,17
"23/12/2006","09:00:00",3.366,0.058,241.35,13.8,0,0,18
"23/12/2006","10:00:00",3.766,0,240.14,15.6,0,0,17
"23/12/2006","11:00:00",3.562,0.082,235.52,15,0,0,17
"23/12/2006","12:00:00",2.718,0,239.07,11.4,0,0,0
"23/12/2006","13:00:00",4.128,0.218,236.74,17.4,0,2,17
"23/12/2006","14:00:00",1.986,0,239.31,8.6,0,0,18
"23/12/2006","15:00:00",4.242,0.088,240.06,17.6,0,0,18
"23/12/2006","16:00:00",4.954,0.666,241.5,20.6,0,0,18
"23/12/2006","17:00:00",6.958,0.058,235.92,29.4,37,0,17
"23/12/2006","18:00:00",4.77,0.052,236.15,20.2,0,0,17
"23/12/2006","19:00:00",5.314,0.376,236.46,22.4,0,1,17
"23/12/2006","20:00:00",3.88,0.074,236.72,16.8,0,0,17
"23/12/2006","21:00:00",4.326,0.066,237.54,18.2,0,2,17
"23/12/2006","22:00:00",3.878,0.328,237.21,16.4,0,0,0
"23/12/2006","23:00:00",3.392,0.418,241.4,14.6,0,2,0
"24/12/2006","00:00:00",5.376,0.046,237.57,22.6,0,0,18
"24/12/2006","01:00:00",4.13,0.184,236.69,17.8,0,2,17
"24/12/2006","02:00:00",4.638,0.054,234.81,20.2,37,0,17
"24/12/2006","03:00:00",0.29,0.132,248.14,1.2,0,1,0
"24/12/2006","04:00:00",0.75,0.128,245.12,4.6,0,0,0
"24/12/2006","05:00:00",2.228,0.1,245.24,9.4,0,1,0
"24/12/2006","06:00:00",2.52,0.214,244.59,10.2,0,0,0
"24/12/2006","07:00:00",0.884,0,245.22,5.4,0,0,0
"24/12/2006","08:00:00",2.288,0,241.36,9.4,0,0,0
"24/12/2006","09:00:00",2.426,0.102,243.93,9.8,0,0,0
"24/12/2006","10:00:00",2.388,0.104,236.54,10.8,0,2,17
"24/12/2006","11:00:00",2.404,0.062,236.86,10,0,1,17
"24/12/2006","12:00:00",2.138,0.256,238.95,9,0,1,18
"24/12/2006","13:00:00",5.368,0.15,232.66,23,0,71,0
"24/12/2006","14:00:00",2.004,0.272,239.36,8.4,0,5,18
"24/12/2006","15:00:00",3.156,0.18,242.43,13,0,38,0
"24/12/2006","16:00:00",1.078,0.368,246.21,4.6,1,5,0
"24/12/2006","17:00:00",0.956,0.134,242.78,4,0,0,0
"24/12/2006","18:00:00",0.64,0.082,239.25,2.6,0,0,0
"24/12/2006","19:00:00",0.504,0.12,240.61,2.2,0,0,0
"24/12/2006","20:00:00",0.478,0.088,239.89,2,0,0,0
"24/12/2006","21:00:00",0.406,0,241.52,1.6,0,0,0
"24/12/2006","22:00:00",0.596,0.234,242.52,2.6,0,0,0
"24/12/2006","23:00:00",0.414,0,243.96,1.6,0,0,0
"25/12/2006","00:00:00",0.586,0.26,243.65,2.6,0,1,0
"25/12/2006","01:00:00",1.796,0.05,244.08,7.2,0,0,19
"25/12/2006","02:00:00",0.274,0.08,245.21,1.2,0,0,0
"25/12/2006","03:00:00",0.546,0,249.78,2.2,0,0,0
"25/12/2006","04:00:00",0.54,0,247.49,2.2,0,0,0
"25/12/2006","05:00:00",0.646,0.148,248.73,2.6,0,0,0
"25/12/2006","06:00:00",0.216,0,246.28,0.8,0,0,0
"25/12/2006","07:00:00",0.304,0.136,245.97,1.4,0,0,0
"25/12/2006","08:00:00",2.858,0.084,240.99,11.8,0,1,18
"25/12/2006","09:00:00",1.816,0.09,244.44,7.4,0,0,0
"25/12/2006","10:00:00",1.622,0.258,242.81,6.6,0,0,0
"25/12/2006","11:00:00",1.864,0.172,244.25,7.6,0,0,0
"25/12/2006","12:00:00",4.984,0.202,237.06,21,38,0,17
"25/12/2006","13:00:00",1.064,0.182,244.56,4.4,0,0,0
"25/12/2006","14:00:00",2.944,0.104,241.36,12.6,37,0,0
"25/12/2006","15:00:00",2.364,0,244.17,10.4,9,0,19
"25/12/2006","16:00:00",1.656,0.496,245.02,7,0,1,0
"25/12/2006","17:00:00",5.79,0.366,238.94,24.2,76,0,0
"25/12/2006","18:00:00",3.046,0.088,239.94,12.6,0,0,18
"25/12/2006","19:00:00",3.926,0.078,239.58,16.4,0,39,0
"25/12/2006","20:00:00",1.356,0.16,242.05,5.6,0,0,0
"25/12/2006","21:00:00",2.458,0.15,242.58,10,0,2,18
"25/12/2006","22:00:00",3.6,0.196,236.46,15.6,2,17,17
"25/12/2006","23:00:00",3.076,0.152,241.01,12.8,0,0,0
"26/12/2006","00:00:00",2.49,0.102,245.44,10,0,1,0
"26/12/2006","01:00:00",2.328,0,241.93,9.6,0,0,0
"26/12/2006","02:00:00",2.426,0.15,241.4,10,0,1,0
"26/12/2006","03:00:00",2.492,0.144,244.86,10.2,0,0,0
"26/12/2006","04:00:00",2.404,0,246.08,9.6,0,0,0
"26/12/2006","05:00:00",2.36,0,243.48,9.6,0,0,0
"26/12/2006","06:00:00",2.468,0.14,245.13,10,0,0,0
"26/12/2006","07:00:00",2.398,0.11,242.42,9.8,0,2,0
"26/12/2006","08:00:00",4.05,0,235.09,17.2,0,0,17
"26/12/2006","09:00:00",2.97,0.186,238.24,12.4,0,0,17
"26/12/2006","10:00:00",4.502,0.058,234.77,19.2,0,0,17
"26/12/2006","11:00:00",2.228,0,238.62,9.4,0,0,18
"26/12/2006","12:00:00",2.334,0.068,237.13,9.8,0,0,17
"26/12/2006","13:00:00",3.982,0.294,237.19,17,0,0,17
"26/12/2006","14:00:00",2.576,0.128,241.41,10.8,0,0,18
"26/12/2006","15:00:00",2.474,0.23,246.27,10,0,2,18
"26/12/2006","16:00:00",2.98,0.076,246.22,12,0,4,19
"26/12/2006","17:00:00",2.632,0,241.7,11,0,0,18
"26/12/2006","18:00:00",3.49,0.12,237.88,14.6,0,0,17
"26/12/2006","19:00:00",2.982,0.27,237.86,12.6,0,0,18
"26/12/2006","20:00:00",4.744,0.624,237.9,20.2,0,2,17
"26/12/2006","21:00:00",2.61,0,242.79,10.8,2,0,19
"26/12/2006","22:00:00",0.748,0,244.24,3.2,0,1,0
"26/12/2006","23:00:00",0.824,0.108,246.78,3.6,0,0,0
"27/12/2006","00:00:00",0.63,0.162,245.7,2.8,0,0,0
"27/12/2006","01:00:00",0.392,0,246.16,1.8,0,0,0
"27/12/2006","02:00:00",0.396,0.046,248.2,1.8,0,0,0
"27/12/2006","03:00:00",0.398,0.05,248.81,1.8,0,0,0
"27/12/2006","04:00:00",0.658,0.434,248.27,3.2,0,1,0
"27/12/2006","05:00:00",0.392,0,247.09,1.8,0,0,0
"27/12/2006","06:00:00",0.398,0,245.79,1.8,0,0,0
"27/12/2006","07:00:00",0.64,0.432,248.09,3.2,0,2,0
"27/12/2006","08:00:00",2.526,0.084,237.1,10.6,0,0,18
"27/12/2006","09:00:00",2.426,0.122,240.62,10,0,0,17
"27/12/2006","10:00:00",2.07,0,239.01,8.6,0,0,17
"27/12/2006","11:00:00",1.39,0.144,241.65,5.8,0,0,18
"27/12/2006","12:00:00",1.258,0,238.84,5.2,0,0,18
"27/12/2006","13:00:00",0.27,0.116,243.84,1.2,0,0,0
"27/12/2006","14:00:00",0.306,0.16,242.6,1.4,0,0,0
"27/12/2006","15:00:00",0.468,0.376,244.93,2.4,0,1,0
"27/12/2006","16:00:00",0.24,0.06,246.27,1,0,0,0
"27/12/2006","17:00:00",0.312,0.162,245.16,1.4,0,0,0
"27/12/2006","18:00:00",1.64,0.276,239.94,6.8,0,2,0
"27/12/2006","19:00:00",1.64,0.246,238.99,6.8,0,0,0
"27/12/2006","20:00:00",1.294,0,240.96,5.4,0,0,0
"27/12/2006","21:00:00",2.336,0,241.81,9.6,0,0,18
"27/12/2006","22:00:00",1.322,0.166,241.32,5.4,0,0,0
"27/12/2006","23:00:00",0.34,0.054,245.11,1.4,0,0,0
"28/12/2006","00:00:00",0.232,0.054,245.5,1,0,0,0
"28/12/2006","01:00:00",0.228,0,242.98,1,0,0,0
"28/12/2006","02:00:00",0.416,0.32,244.73,2.2,0,2,0
"28/12/2006","03:00:00",0.32,0.184,249.03,1.4,0,0,0
"28/12/2006","04:00:00",0.236,0.064,247.6,1,0,0,0
"28/12/2006","05:00:00",0.414,0.344,248.25,2.2,0,2,0
"28/12/2006","06:00:00",0.418,0.282,246.45,2,0,0,0
"28/12/2006","07:00:00",0.236,0.064,248.27,1,0,0,0
"28/12/2006","08:00:00",3.272,0,238.95,13.6,0,0,18
"28/12/2006","09:00:00",1.464,0.17,241.11,6,1,0,18
"28/12/2006","10:00:00",0.234,0.054,244.94,1,0,0,0
"28/12/2006","11:00:00",0.23,0,239.68,1,0,0,0
"28/12/2006","12:00:00",0.228,0,241.42,1,0,0,0
"28/12/2006","13:00:00",0.404,0.288,243,2,0,0,0
"28/12/2006","14:00:00",1.454,0,242.67,6,0,0,19
"28/12/2006","15:00:00",1.598,0.13,244.81,6.6,0,0,18
"28/12/2006","16:00:00",1.588,0.278,242.79,6.6,0,1,18
"28/12/2006","17:00:00",1.972,0.238,240.52,8.2,0,0,18
"28/12/2006","18:00:00",2.044,0,237.84,8.6,0,0,18
"28/12/2006","19:00:00",5.388,0.176,234.95,22.8,0,38,17
"28/12/2006","20:00:00",3.166,0.252,234.73,13.6,0,0,0
"28/12/2006","21:00:00",6.376,0.252,235.94,27.4,1,53,17
"28/12/2006","22:00:00",3.968,0,239.39,16.6,38,0,0
"28/12/2006","23:00:00",2.044,0.166,247.43,8.2,0,18,0
"29/12/2006","00:00:00",0.496,0.186,245.71,3,0,0,0
"29/12/2006","01:00:00",2.238,0,244.89,9.4,0,0,0
"29/12/2006","02:00:00",0.348,0.178,247.39,1.8,0,1,0
"29/12/2006","03:00:00",2.414,0,246.35,9.8,0,1,0
"29/12/2006","04:00:00",2.372,0,244.48,9.6,0,0,0
"29/12/2006","05:00:00",2.472,0.152,244.56,10,0,0,0
"29/12/2006","06:00:00",2.374,0,244.39,9.6,0,0,0
"29/12/2006","07:00:00",2.394,0.066,244.31,9.8,0,0,0
"29/12/2006","08:00:00",3.93,0.078,237.72,16.4,0,0,18
"29/12/2006","09:00:00",3.3,0,238.7,13.8,0,0,18
"29/12/2006","10:00:00",3.558,0.34,239.28,14.8,0,2,17
"29/12/2006","11:00:00",1.618,0,240.71,6.6,0,0,17
"29/12/2006","12:00:00",1.394,0.11,241.24,5.8,0,0,18
"29/12/2006","13:00:00",1.404,0,240.38,5.8,0,0,18
"29/12/2006","14:00:00",1.424,0.24,239.28,6,0,0,18
"29/12/2006","15:00:00",1.386,0.158,243.11,5.6,0,0,18
"29/12/2006","16:00:00",0.374,0.268,242.35,1.8,0,0,0
"29/12/2006","17:00:00",0.298,0.152,240.12,1.4,0,0,0
"29/12/2006","18:00:00",1.448,0.338,233.8,6.2,0,1,0
"29/12/2006","19:00:00",1.512,0,231.97,6.4,0,1,0
"29/12/2006","20:00:00",2.828,0.268,232.74,12.2,0,0,17
"29/12/2006","21:00:00",1.522,0,234.55,6.4,0,0,0
"29/12/2006","22:00:00",2.278,0.086,236.41,9.6,0,3,17
"29/12/2006","23:00:00",2.954,0.274,239.75,12.6,0,24,18
"30/12/2006","00:00:00",0.236,0,243.42,1,0,1,0
"30/12/2006","01:00:00",0.408,0.266,241.27,2,0,1,0
"30/12/2006","02:00:00",0.23,0,241.05,1,0,1,0
"30/12/2006","03:00:00",0.42,0.31,247.01,2,0,1,0
"30/12/2006","04:00:00",0.324,0.186,247.37,1.6,0,2,0
"30/12/2006","05:00:00",0.338,0.18,244.02,1.6,0,0,0
"30/12/2006","06:00:00",0.242,0,244.51,1,0,0,0
"30/12/2006","07:00:00",0.28,0.13,247.4,1.2,0,0,0
"30/12/2006","08:00:00",0.386,0.172,245.43,1.8,0,0,0
"30/12/2006","09:00:00",1.248,0.218,243.9,5.2,0,1,0
"30/12/2006","10:00:00",7.016,0.302,236,29.6,0,73,17
"30/12/2006","11:00:00",2.59,0.296,235.96,11,0,2,17
"30/12/2006","12:00:00",1.664,0,238.34,7,0,0,18
"30/12/2006","13:00:00",4.002,0.504,239.09,16.8,0,39,17
"30/12/2006","14:00:00",1.292,0,240.59,5.4,0,0,18
"30/12/2006","15:00:00",2.144,0.512,239.12,9.2,0,0,18
"30/12/2006","16:00:00",2.392,0.382,241.84,10,0,0,18
"30/12/2006","17:00:00",2.784,0.672,241.18,11.8,0,4,18
"30/12/2006","18:00:00",2.602,0.234,234.12,11.2,0,0,17
"30/12/2006","19:00:00",5.808,0.46,230.04,25.2,36,0,16
"30/12/2006","20:00:00",2.182,0,235.17,9.2,0,0,17
"30/12/2006","21:00:00",1.786,0.216,237.15,7.6,1,0,0
"30/12/2006","22:00:00",0.556,0.124,239.25,2.4,0,2,0
"30/12/2006","23:00:00",0.372,0.25,241.45,1.8,0,0,0
"31/12/2006","00:00:00",0.21,0,243.1,0.8,0,0,0
"31/12/2006","01:00:00",0.286,0.122,242.63,1.2,0,0,0
"31/12/2006","02:00:00",0.306,0.152,242.45,1.4,0,0,0
"31/12/2006","03:00:00",2.14,0,244.13,9,0,0,0
"31/12/2006","04:00:00",0.216,0,244.75,1,0,0,0
"31/12/2006","05:00:00",1.482,0.27,243.24,6.2,0,1,18
"31/12/2006","06:00:00",0.25,0,244.54,1,0,0,0
"31/12/2006","07:00:00",6.17,0.082,237.99,26,0,0,0
"31/12/2006","08:00:00",4.972,0.286,238.26,20.8,0,0,17
"31/12/2006","09:00:00",2.306,0,241.84,9.4,0,0,0
"31/12/2006","10:00:00",2.856,0.13,238.78,12,0,2,0
"31/12/2006","11:00:00",3.25,0,236.98,13.6,0,0,17
"31/12/2006","12:00:00",4.094,0.288,236.44,17.2,0,0,17
"31/12/2006","13:00:00",3.668,0,235.89,15.4,0,0,17
"31/12/2006","14:00:00",3.496,0.128,237.59,14.6,0,0,17
"31/12/2006","15:00:00",2.492,0.14,240.9,10.4,0,1,0
"31/12/2006","16:00:00",2.31,0,242.66,9.4,0,0,0
"31/12/2006","17:00:00",2.702,0.128,240.41,11.2,0,0,0
"31/12/2006","18:00:00",2.452,0.062,236.3,10.4,0,0,0
"31/12/2006","19:00:00",2.448,0.1,235.3,10.4,0,0,0
"31/12/2006","20:00:00",2.432,0.074,235.51,10.2,0,0,0
"31/12/2006","21:00:00",2.36,0,235.5,10,0,0,0
"31/12/2006","22:00:00",2.642,0.328,237.01,11.2,0,2,0
"31/12/2006","23:00:00",3.464,0,238.28,14.4,0,0,18
"1/1/2007","00:00:00",2.58,0.136,241.97,10.6,0,0,0
"1/1/2007","01:00:00",2.466,0,241.09,10.2,0,0,0
"1/1/2007","02:00:00",2.504,0.088,239.26,10.4,0,0,0
"1/1/2007","03:00:00",2.648,0.254,241.63,11,0,2,0
"1/1/2007","04:00:00",2.4,0,241.96,9.8,0,0,0
"1/1/2007","05:00:00",2.436,0,243.85,10,0,0,0
"1/1/2007","06:00:00",2.46,0.064,241.13,10.2,0,0,0
"1/1/2007","07:00:00",2.396,0,242.03,9.8,0,0,0
"1/1/2007","08:00:00",2.532,0.244,240.44,10.4,0,1,0
"1/1/2007","09:00:00",2.384,0,240.98,9.8,0,0,0
"1/1/2007","10:00:00",3.48,0.048,239.62,14.4,0,0,18
"1/1/2007","11:00:00",2.51,0,236.92,10.6,0,0,0
"1/1/2007","12:00:00",2.478,0,235.3,10.4,0,0,0
"1/1/2007","13:00:00",2.662,0.134,239.5,11,0,0,0
"1/1/2007","14:00:00",1.164,0.138,238.96,7.2,0,0,0
"1/1/2007","15:00:00",2.686,0.14,239.88,11.2,0,1,18
"1/1/2007","16:00:00",1.338,0.124,238.61,5.6,0,0,18
"1/1/2007","17:00:00",1.71,0.158,240.39,7,0,0,18
"1/1/2007","18:00:00",1.416,0,239.13,5.8,0,0,17
"1/1/2007","19:00:00",1.504,0.13,238.5,6.2,0,0,17
"1/1/2007","20:00:00",0.44,0.126,237.91,1.8,0,1,0
"1/1/2007","21:00:00",0.47,0.142,238.81,2,0,0,0
"1/1/2007","22:00:00",0.362,0,239.11,1.4,0,0,0
"1/1/2007","23:00:00",0.372,0,242.78,1.6,0,0,0
"2/1/2007","00:00:00",0.442,0.122,241.06,1.8,0,0,0
"2/1/2007","01:00:00",0.378,0,243.75,1.6,0,0,0
"2/1/2007","02:00:00",0.47,0.16,242.18,2,0,0,0
"2/1/2007","03:00:00",0.47,0.168,246.16,2,0,1,0
"2/1/2007","04:00:00",0.562,0.286,245.54,2.6,0,0,0
"2/1/2007","05:00:00",1.448,0,241.6,6,0,0,18
